group,variable,value
18 - 24,v1,"286,454"
18 - 24,v2,"639,268"
18 - 24,v3,"1,172,462"
18 - 24,v4,"2,366,278"
18 - 24,v5,"2,756,071"
18 - 24,v6,"72,011"
18 - 24,v7,"20,902"
18 - 24,v8,"2,625,570"
25 - 39,v1,"1,546,625"
25 - 39,v2,"4,399,374"
25 - 39,v3,"5,968,053"
25 - 39,v4,"7,623,589"
25 - 39,v5,"13,842,252"
25 - 39,v6,"500,551"
25 - 39,v7,"78,798"
25 - 39,v8,"8,137,828"
40 - 54,v1,"969,268"
40 - 54,v2,"2,469,898"
40 - 54,v3,"3,292,263"
40 - 54,v4,"4,272,341"
40 - 54,v5,"6,251,731"
40 - 54,v6,"282,027"
40 - 54,v7,"69,504"
40 - 54,v8,"6,160,146"
55 - 64,v1,"501,794"
55 - 64,v2,"989,617"
55 - 64,v3,"1,423,160"
55 - 64,v4,"2,213,671"
55 - 64,v5,"3,897,265"
55 - 64,v6,"51,138"
55 - 64,v7,"81,243"
55 - 64,v8,"4,476,699"
65 and above,v1,"494,549"
65 and above,v2,"420,084"
65 and above,v3,"715,712"
65 and above,v4,"1,594,982"
65 and above,v5,"3,896,458"
65 and above,v6,"33,088"
65 and above,v7,"73,620"
65 and above,v8,"5,276,088"
