State,Count
Alabama,"77,706"
Alaska,"8,714"
Arizona,"119,811"
Arkansas,"66,600"
California,"370,895"
Colorado,"82,040"
Connecticut,"64,675"
Delaware,"15,638"
Florida,"294,888"
Georgia,"138,819"
Hawaii,"26,387"
Idaho,"25,080"
Illinois,"221,305"
Indiana,"98,436"
Iowa,"42,728"
Kansas,"46,023"
Kentucky,"67,240"
Louisiana,"87,447"
Maine,"19,798"
Maryland,"69,909"
Massachusetts,"82,954"
Michigan,"142,818"
Minnesota,"58,392"
Mississippi,"44,135"
Missouri,"97,901"
Montana,"20,107"
Nebraska,"30,401"
Nevada,"49,066"
New Hampshire,"23,929"
New Jersey,"138,724"
New Mexico,"40,853"
New York,"266,759"
North Carolina,"157,111"
North Dakota,"13,732"
Ohio,"166,480"
Oklahoma,"69,682"
Oregon,"61,970"
Pennsylvania,"183,722"
Rhode Island,"19,092"
South Carolina,"87,514"
South Dakota,"18,706"
Tennessee,"117,595"
Texas,"363,417"
Utah,"40,040"
Vermont,"12,893"
Virginia,"106,640"
Washington,"87,214"
West Virginia,"34,571"
Wisconsin,"88,867"
Wyoming,"11,946"
