state,count,latitude,longitude
Alabama,"77,706",32.318231,-86.902298
Alaska,"8,714",63.588753,-154.493062
Arizona,"119,811",34.048928,-111.093731
Arkansas,"66,600",35.20105,-91.831833
California,"370,895",36.778261,-119.417932
Colorado,"82,040",39.550051,-105.782067
Connecticut,"64,675",41.603221,-73.087749
Delaware,"15,638",38.910832,-75.52767
District of Columbia,"11,069",38.905985,-77.033418
Florida,"294,888",27.664827,-81.515754
Georgia,"138,819",32.157435,-82.907123
Hawaii,"26,387",19.898682,-155.665857
Idaho,"25,080",44.068202,-114.742041
Illinois,"221,305",40.633125,-89.398528
Indiana,"98,436",40.551217,-85.602364
Iowa,"42,728",41.878003,-93.097702
Kansas,"46,023",39.011902,-98.484246
Kentucky,"67,240",37.839333,-84.270018
Louisiana,"87,447",31.244823,-92.145024
Maine,"19,798",45.253783,-69.445469
Maryland,"69,909",39.045755,-76.641271
Massachusetts,"82,954",42.407211,-71.382437
Michigan,"142,818",44.314844,-85.602364
Minnesota,"58,392",46.729553,-94.6859
Mississippi,"44,135",32.354668,-89.398528
Missouri,"97,901",37.964253,-91.831833
Montana,"20,107",46.879682,-110.362566
Nebraska,"30,401",41.492537,-99.901813
Nevada,"49,066",38.80261,-116.419389
New Hampshire,"23,929",43.193852,-71.572395
New Jersey,"138,724",40.058324,-74.405661
New Mexico,"40,853",34.97273,-105.032363
New York,"266,759",43.299428,-74.217933
North Carolina,"157,111",35.759573,-79.0193
North Dakota,"13,732",47.551493,-101.002012
Ohio,"166,480",40.417287,-82.907123
Oklahoma,"69,682",35.007752,-97.092877
Oregon,"61,970",43.804133,-120.554201
Pennsylvania,"183,722",41.203322,-77.194525
Rhode Island,"19,092",41.580095,-71.477429
South Carolina,"87,514",33.836081,-81.163725
South Dakota,"18,706",43.969515,-99.901813
Tennessee,"117,595",35.517491,-86.580447
Texas,"363,417",31.968599,-99.901813
Utah,"40,040",39.32098,-111.093731
Vermont,"12,893",44.558803,-72.577841
Virginia,"106,640",37.431573,-78.656894
Washington,"87,214",47.751074,-120.740139
West Virginia,"34,571",38.597626,-80.454903
Wisconsin,"88,867",43.78444,-88.787868
Wyoming,"11,946",43.075968,-107.290284
