week,total,wrent,noconf,slightconf,modconf,highconf,deferred,didnotrep,didnottenure
week_1,"1,755,434","37,017","403,139","433,683","439,413","352,357","89,826",-,"593,565"
week_2,"77,201,968","3,515,259","10,308,483","14,158,604","19,499,208","29,029,915","513,309","177,190","21,376,037"
week_3,"71,678,404","3,777,339","10,657,379","12,534,417","16,936,500","26,802,195","803,919","166,654","27,801,138"
week_4,"69,114,541","3,995,853","9,116,561","11,626,125","15,636,462","27,883,104","602,726","253,709","33,857,650"
week_5,"68,880,960","3,116,094","8,731,820","11,709,015","16,484,596","27,660,408","645,809","533,219","34,646,945"
week_6,"68,948,887","3,233,525","7,973,690","10,190,889","16,018,092","30,265,802","790,459","476,430","32,880,046"
week_7,"73,505,107","4,128,005","7,868,664","13,344,106","16,334,804","30,750,196","673,302","406,031","24,465,972"
week_8,"74,045,544","3,623,538","7,476,080","14,388,666","18,369,696","29,356,285","499,217","332,063","24,716,016"
week_10,"73,819,863","3,664,687","8,888,584","13,715,231","19,064,077","27,399,975","810,089","277,220","25,461,757"
week_11,"71,932,509","3,252,717","9,393,821","14,309,209","17,924,476","26,016,573","747,343","288,370","26,651,341"
week_12,"73,065,587","3,357,213","9,854,048","13,905,774","18,744,318","26,031,067","764,758","408,408","27,419,857"
week_13,"57,030,398","3,257,057","5,885,841","8,577,430","12,712,842","25,912,353","331,084","353,791","58,745,423"
week_14,"59,776,778","2,939,522","6,258,244","8,809,504","14,661,729","26,207,966","469,981","429,833","56,670,720"
week_15,"58,513,965","3,315,025","5,888,235","8,828,717","13,188,436","26,331,283","519,565","442,703","55,518,424"
week_16,"57,527,460","2,994,741","5,895,368","8,261,710","13,520,318","25,963,894","585,941","305,489","57,199,904"
